X,X.1,gbifID,occurrenceID,species,decimallongitude,decimallatitude,homepolygon,homepolygon.1,
1245,1457,5351,2305535828,KJ734559,Ficus insipida,-64.78,-17.09,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1246,1458,5352,2305519826,KJ734429,Ficus insipida,-69.59,-13.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1247,1462,5356,2305480711,KJ734420,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1248,1464,5358,2305412100,KJ734340,Ficus insipida,-73.72,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1249,1465,5359,2305347234,KJ734425,Ficus insipida,-69.29,-12.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1250,1466,5360,2305198958,KJ734428,Ficus insipida,-69.59,-13.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1251,1467,5362,2305040085,KJ734436,Ficus insipida,-69.01,-11.4,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1252,1468,5363,2305011944,KJ734423,Ficus insipida,-69.29,-12.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1253,1469,5364,2305005474,KJ734511,Ficus insipida,-73.7,-4.92,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1254,1471,5367,2304951024,KJ734558,Ficus insipida,-64.78,-17.09,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1255,1474,5370,2304847686,KJ734508,Ficus insipida,-73.73,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1256,1476,5372,2304808913,KJ734394,Ficus insipida,-75.36,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1257,1478,5374,2304557826,KJ734343,Ficus insipida,-73.71,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1258,1481,5377,2304481397,KJ734422,Ficus insipida,-70.41,-13.5,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1259,1486,5382,2304179003,KJ734341,Ficus insipida,-73.71,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
